id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers
8613,1.03,AGSL,SI2,J, ,61.2,,6.52x6.51x3.98,Excellent,Botswana,Round,Excellent,59.0,1,
8614,1.01,AGSL,VS2,J, ,,,6.31x6.4x4.03, ,Russia,Round, ,,3,
8615,1.01,AGSL,VS1,J, ,60.3,,6.44x6.39x3.87,Excellent,Other/Unknown,Radiant,Very good,60.0,3,
8616,1.05,,VS1,K, ,60.7,,6.52x6.57x3.97, ,Russia,Pear, ,62.0,2,
8617,0.7,AGSL,VS2,D,Excellent,62.2,,5.64x5.66x3.52,Excellent,South Africa,Round,Excellent,59.0,2,4354.791558746953
8618,0.7,AGSL,VS1,G, ,61.2,,5.76x5.71x3.51,Excellent,DR Congo,Round,Excellent,57.0,1,3580.069694140449
8619,1.0,AGSL,SI1,J, ,64.4,,6.17x6.26x4, ,Botswana,Round, ,57.0,3,
8620,1.01,AGSL,VS2,J, ,64.0,,6.35x6.29x4.04,Excellent,Russia,Princess,Very good,56.0,1,
8621,0.8,AGSL,VS1,F, ,62.4,,5.95x5.89x3.69,Excellent,Russia,Radiant,Very good,59.0,2,4976.229654817371
8622,1.01,AGSL,SI2,J, ,60.4,False,6.52x6.49x3.93,Excellent,South Africa,Round,Excellent,,2,
8623,0.7,AGSL,IF,E, ,61.6,,5.69x5.78x3.53,Good,Botswana,Princess,Good,61.0,1,4543.91101707186
8624,1.0,GemEx,SI2,I, ,63.2,,6.24x6.33x3.98, ,Russia,Oval, ,58.0,2,
8625,1.02,AGSL,VS2,K, ,62.7,,6.39x6.45x4.02, ,Russia,Emerald, ,58.0,1,
8626,1.31,AGSL,SI2,L, ,63.6,,6.91x6.87x4.38,Excellent,Russia,Radiant,Very good,,2,
8627,0.91,AGSL,SI1,H, ,,,6.24x6.21x3.85,Excellent,Russia,Round,Very good,57.0,2,
8628,0.9,AGSL,SI2,G,Excellent,61.4,,6.2x6.23x3.82,Excellent,Canada,Oval,Excellent,57.0,1,
8629,0.9,AGSL,SI2,F, ,62.8,,6.13x6.17x3.86, ,Angola,Round, ,,1,
8630,1.0,AGSL,SI1,J, ,63.2,,6.27x6.32x3.98, ,Botswana,Cushion, ,60.0,3,
8631,1.02,,VS2,K, ,63.2,,6.34x6.42x4.03,Very good,Russia,Round,Very good,,1,
8632,1.03,AGSL,SI2,I, ,59.6,,6.53x6.57x3.9, ,Canada,Round, ,61.0,1,
8633,0.9,AGSL,SI2,G,Excellent,60.7,,6.27x6.28x3.81,Excellent,Angola,Round,Excellent,,2,
8634,1.0,GemEx,VVS2,K, ,61.9,,6.39x6.35x3.95,Excellent,Russia,Emerald,Excellent,59.0,1,5966.559730102962
8635,0.8,,VVS2,G, ,60.5,,5.97x6x3.62, ,Australia,Pear, ,,1,
8636,0.8,AGSL,VS1,E, ,63.9,False,5.87x5.84x3.74,Excellent,Russia,Round,Very good,55.0,1,5077.550850874543
8637,1.0,AGSL,SI2,I, ,62.1,,6.36x6.38x3.96, ,Russia,Round, ,57.0,2,
8638,1.01,AGSL,SI2,J, ,62.5,,6.38x6.42x4, ,Botswana,Princess, ,56.0,2,
8639,1.01,AGSL,VS2,J, ,59.7,,6.55x6.52x3.9,Excellent,Russia,Princess,Excellent,60.0,3,
8640,0.84,AGSL,VS1,G, ,62.3,,6.02x6.06x3.77, ,DR Congo,Pear, ,,2,
8641,0.8,AGSL,VS1,E, ,63.0,,5.93x5.87x3.72,Very good,South Africa,Pear,Very good,56.0,2,5190.563237737847
8642,1.01,AGSL,SI2,I, ,60.2,,6.52x6.5x3.92,Excellent,Botswana,Oval ,Excellent,,3,
8643,1.01,AGSL,SI2,I, ,62.4,,6.41x6.4x4,Excellent,Other/Unknown,Round,Excellent,56.0,1,
8644,1.01,AGSL,SI2,I, ,,,6.32x6.39x4.04, ,Australia,Round, ,,1,
8645,1.01,GemEx,SI2,I, ,64.2,,6.26x6.34x4.05, ,Russia,Round, ,57.0,2,
8646,0.9,AGSL,SI1,F, ,62.9,,6.13x6.07x3.84,Excellent,South Africa,Marquis,Good,58.0,2,
8647,1.01,AGSL,SI2,L, ,60.0,,6.51x6.49x3.9,Excellent,Australia,Princess,Excellent,60.0,3,
8648,0.8,AGSL,VVS1,H, ,62.0,,5.91x5.95x3.68, ,Botswana,Round, ,57.0,1,
8649,1.03,AGSL,SI2,J, ,61.9,,6.47x6.49x4.01, ,Botswana,Round, ,,2,
8650,1.01,AGSL,SI2,H, ,61.6,,6.45x6.4x3.96,Very good,Angola,Round,Excellent,61.0,2,
8651,1.03,AGSL,SI2,J,Excellent,62.4,,6.45x6.47x4.03,Excellent,Botswana,Emerald,Excellent,57.0,3,
8652,1.03,AGSL,VVS2,L, ,61.9,,6.45x6.46x4, ,Canada,Oval, ,58.0,2,
8653,0.9,AGSL,SI1,G, ,62.0,,6.15x6.09x3.79,Very good,Botswana,Round,Very good,,1,
8654,0.9,AGSL,SI1,G, ,64.3,,6.01x6.1x3.9, ,Australia,Princess, ,55.0,2,
8655,1.0,AGSL,SI2,I, ,62.8,False,6.35x6.42x4.01, ,Russia,Cushion, ,57.0,2,
8656,1.02,AGSL,SI1,J, ,60.4,,6.54x6.51x3.94,Excellent,Russia,Round,Excellent,,1,
8657,1.03,,SI2,I, ,,,6.54x6.59x3.93, ,DR Congo,Round, ,61.0,2,
8658,0.9,AGSL,VS1,H, ,,,6.07x6x3.88,Excellent,DR Congo,Round,Very good,,3,
8659,1.03,AGSL,SI2,I, ,63.6,False,6.35x6.38x4.05, ,South Africa,Round, ,57.0,3,
8660,1.01,AGSL,SI2,I, ,62.2,,6.44x6.41x3.99,Excellent,Russia,Radiant,Excellent,57.0,1,
8661,1.01,AGSL,SI2,I, ,,,6.4x6.44x3.99, ,DR Congo,Marquise, ,56.0,1,
8662,0.9,AGSL,SI2,G, ,62.2,,6.15x6.17x3.83,Excellent,Botswana,Princess,Excellent,57.0,1,
8663,1.32,AGSL,VS2,M, ,62.7,,6.95x7x4.38, ,Russia,Radiant, ,57.0,1,
8664,1.14,AGSL,SI1,K, ,61.1,,6.72x6.76x4.12, ,DR Congo,Round, ,,1,
8665,1.21,AGSL,VS2,L, ,62.4,,6.81x6.79x4.24,Excellent,South Africa,Princess,Excellent,57.0,2,
8666,1.04,AGSL,SI2,J, ,62.6,,6.44x6.47x4.04,Excellent,Other/Unknown,Oval,Excellent,56.0,3,
8667,1.0,,SI2,E, ,65.4,,6.13x6.29x4.06, ,Russia,Asscher, ,55.0,2,
8668,1.02,AGSL,VVS2,K, ,60.3,,6.53x6.57x3.95, ,Russia,Emerald, ,61.0,2,
8669,0.96,AGSL,SI2,F, ,62.8,,6.31x6.25x3.94,Excellent,Canada,Radiant,Excellent,57.0,2,
8670,1.2,AGSL,VS2,L, ,60.6,False,6.9x6.97x4.2,Very good,South Africa,Round,Very good,59.0,2,
8671,0.85,AGSL,VS2,F, ,60.5,,6.12x6.17x3.71,Excellent,Botswana,Round,Very good,58.0,1,5023.52856757956
8672,0.81,AGSL,VS1,D, ,63.9,,5.88x5.84x3.74,Excellent,South Africa,Round,Very good,56.0,2,5755.080712173623
8673,1.01,AGSL,VS1,I, ,66.0,,6.12x6.18x4.06, ,DR Congo,Emerald, ,,3,
8674,1.01,AGSL,SI1,J, ,,,6.27x6.31x3.96,Excellent,Russia,Princess,Excellent,,2,
8675,1.07,AGSL,SI2,L, ,61.6,,6.64x6.59x4.08,Excellent,Botswana,Round,Good,,2,
8676,1.01,AGSL,VS2,J, ,60.7,,6.47x6.5x3.94, ,Australia,Round, ,61.0,1,
8677,0.91,AGSL,SI2,F, ,62.0,,6.18x6.2x3.84,Good,Russia,Round,Good,58.0,1,
8678,1.46,AGSL,VS2,M, ,,,7.29x7.33x4.49, ,Botswana,Oval, ,57.0,3,
8679,1.01,AGSL,SI2,I, ,64.3,,6.25x6.32x4.04, ,Canada,Round, ,59.0,2,
8680,1.05,GemEx,SI1,K, ,,,6.54x6.51x4.03,Excellent,Australia,Round,Excellent,57.0,1,
8681,1.02,AGSL,SI1,K,Good,64.0,,6.23x6.27x4,Very good,DR Congo,Oval ,Excellent,59.0,3,
8682,1.01,AGSL,SI1,I, ,61.4,False,6.45x6.42x3.95,Excellent,Canada,Round,Excellent,61.0,1,
8683,1.04,GemEx,SI1,J, ,62.7,,6.44x6.49x4.05, ,Australia,Round, ,57.0,4,
8684,1.01,AGSL,SI2,J,Good,64.0,,6.24x6.26x4,Very good,Canada,Round,Very good,61.0,2,
8685,1.01,AGSL,SI2,F, ,62.8,,6.41x6.37x4.01,Excellent,Botswana,Round,Very good,57.0,2,
8686,1.02,AGSL,SI1,I, ,,,6.53x6.5x3.93,Excellent,DR Congo,Round,Excellent,59.0,1,
8687,1.03,AGSL,SI2,I, ,61.8,,6.46x6.51x4.01, ,Canada,ROUND, ,,2,
8688,0.9,,VS1,H, ,61.0,,6.2x6.12x3.76,Very good,Russia,Round,Good,56.0,1,
8689,1.01,GemEx,SI2,G, ,60.2,,6.52x6.49x3.92,Very good,Canada,Pear,Excellent,,3,
8690,1.0,GemEx,SI1,I, ,65.2,,6.21x6.15x4.02,Very good,Other/Unknown,Princess,Very good,57.0,3,
8691,1.22,AGSL,SI2,K, ,62.5,,6.8x6.85x4.27, ,Angola,Round, ,56.0,3,
8692,1.1,AGSL,SI1,J, ,60.5,False,6.69x6.66x4.04,Excellent,Russia,Round,Excellent,59.0,2,
8693,1.0,,VS2,J, ,61.4,,6.42x6.47x3.96, ,Canada,Pear, ,,1,
8694,1.3,,SI1,L, ,59.6,,7.13x7.09x4.24,Excellent,Botswana,Radiant,Excellent,60.0,2,
8695,0.9,AGSL,VVS2,H, ,62.1,,6.2x6.11x3.82,Excellent,Russia,Round,Good,,2,5939.489422909585
8696,1.51,AGSL,VS2,M, ,63.1,,7.26x7.24x4.57,Excellent,Canada,ROUND,Excellent,56.0,3,
8697,1.01,AGSL,SI1,J,Good,65.3,,6.15x6.2x4.03,Very good,Russia,Asscher,Very good,,1,
8698,1.01,AGSL,SI2,H, ,59.1,,6.57x6.54x3.88,Excellent,Botswana,Marquise,Excellent,61.0,1,
8699,1.01,AGSL,SI2,H, ,60.3,,6.52x6.5x3.93,Excellent,Botswana,Emerald,Excellent,59.0,4,
8700,1.13,AGSL,VVS2,K, ,59.8,,6.75x6.77x4.04, ,Botswana,Marquise, ,61.0,1,
8701,1.2,AGSL,SI2,K, ,61.2,,6.81x6.82x4.17, ,Australia,Round, ,,2,
8702,1.12,AGSL,SI2,I, ,,,6.54x6.59x4.08, ,Russia,Round, ,,1,
8703,0.9,AGSL,VS2,G, ,60.8,,6.25x6.23x3.8,Excellent,DR Congo,Round,Excellent,60.0,1,5330.455319181902
8704,1.01,AGSL,VS2,J, ,60.0,,6.51x6.52x3.91, ,Zimbabwe,Round, ,62.0,2,
8705,1.04,AGSL,SI1,J, ,62.4,,6.45x6.48x4.03, ,Botswana,Round, ,57.0,2,
8706,0.9,AGSL,SI1,G,Excellent,62.3,,6.15x6.2x3.85,Excellent,Canada,Marquise,Excellent,,1,5052.097667386654
8707,0.9,AGSL,SI1,G,Very good,61.5,,6.14x6.17x3.79,Excellent,Russia,Asscher,Good,57.0,1,
8708,1.02,AGSL,SI2,H, ,60.2,,6.55x6.53x3.93,Excellent,Australia,Round,Excellent,59.0,2,
8709,1.01,AGSL,VVS1,L, ,62.0,,6.39x6.42x3.97,Excellent,Russia,Round,Excellent,60.0,3,
8710,1.09,AGSL,VS2,J, ,59.7,,6.7x6.67x3.99,Excellent,Angola,Pear,Excellent,60.0,1,
8711,1.0,AGSL,SI2,H, ,59.8,,6.44x6.49x3.87,Very good,Russia,Round,Very good,64.0,2,
8712,1.1,AGSL,SI2,I, ,62.5,,6.57x6.6x4.12, ,Russia,Round, ,55.0,1,
8713,1.07,AGSL,I1,H, ,64.1,,6.42x6.47x4.13,Excellent,Russia,Round,Excellent,,3,
8714,0.72,AGSL,VVS1,G, ,62.8,,5.75x5.72x3.6,Excellent,Australia,Asscher,Very good,57.0,3,
8715,0.9,,VS1,H, ,63.1,,6.02x6.12x3.83, ,Other/Unknown,Round, ,57.0,1,
8716,1.05,GemEx,SI2,J, ,62.5,,6.49x6.54x4.08, ,Botswana,Oval, ,57.0,3,
8717,0.9,GemEx,VS2,F, ,62.0,,6.16x6.2x3.83, ,Botswana,Round, ,56.0,2,
8718,1.19,AGSL,VVS2,K, ,59.2,,6.91x6.93x4.1,Excellent,Russia,Oval,Excellent,61.0,3,
8719,1.22,AGSL,VS2,K, ,61.8,False,6.89x6.87x4.25,Excellent,Australia,Round,Excellent,,2,
8720,0.8,AGSL,VS2,D, ,61.1,,5.96x6.01x3.66,Very good,Australia,Round,Very good,,1,5012.08123661823
8721,1.01,AGSL,SI2,K, ,62.2,,6.3x6.26x3.91,Very good,DR Congo,Round,Very good,60.0,2,
8722,1.07,AGSL,SI2,H, ,62.4,,6.56x6.54x4.09,Excellent,Canada,Round,Excellent,,3,
8723,1.02,AGSL,SI2,I,Good,61.2,,6.29x6.32x3.86,Very good,DR Congo,Round,Very good,61.0,4,
8724,1.01,,SI1,I, ,,,6.43x6.4x4,Excellent,Canada,Radiant,Excellent,,3,
8725,1.03,AGSL,SI1,J, ,62.5,,6.43x6.47x4.03, ,DR Congo,Princess, ,57.0,4,
8726,1.16,AGSL,SI2,I, ,61.6,,6.72x6.77x4.15, ,DR Congo,Princess, ,,1,
8727,1.16,AGSL,VVS1,K, ,,,6.76x6.79x4.13, ,Canada,Round, ,,2,
8728,1.12,AGSL,VS2,J, ,61.6,,6.64x6.68x4.1, ,Russia,Round, ,59.0,2,
8729,1.01,AGSL,VS2,I, ,,,6.5x6.46x3.94,Excellent,Botswana,Round,Very good,63.0,1,
8730,1.01,AGSL,SI2,H, ,60.8,,6.45x6.46x3.93, ,Russia,Round, ,59.0,3,
8731,0.9,AGSL,VS1,G, ,62.7,,6.15x6.05x3.82,Excellent,Australia,Round,Good,61.0,1,5443.363644130084
8732,1.21,AGSL,SI1,L,Very good,62.1,,6.8x6.83x4.23,Very good,Russia,Asscher,Good,58.0,4,
8733,1.04,AGSL,SI2,G, ,62.4,,6.5x6.46x4.04,Excellent,Russia,Emerald,Excellent,57.0,1,
8734,1.26,AGSL,SI2,K, ,60.4,,6.95x7x4.21, ,Other/Unknown,Round, ,59.0,1,
8735,1.2,AGSL,SI2,J, ,62.7,,6.77x6.69x4.22,Excellent,DR Congo,Round,Very good,56.0,2,
8736,1.17,AGSL,SI2,I, ,56.7,False,6.99x7.07x3.98,Good,South Africa,Round,Good,63.0,1,
8737,0.9,,SI1,D, ,63.8,,6.09x6.03x3.87,Excellent,Angola,Oval ,Very good,57.0,3,
8738,1.0,AGSL,SI1,G, ,64.9,,6.28x6.23x4.06,Excellent,Russia,Round,Very good,,4,
8739,1.16,,SI2,J, ,61.8,,6.69x6.74x4.15, ,Russia,Round, ,,2,
8740,1.04,AGSL,SI1,I, ,62.2,,6.49x6.51x4.05, ,Canada,Round, ,,3,
8741,1.11,AGSL,SI2,I, ,61.1,,6.63x6.68x4.06, ,Russia,Round, ,,4,
8742,1.11,AGSL,SI2,H, ,59.8,,6.76x6.74x4.03,Excellent,Russia,Princess,Excellent,60.0,2,
8743,1.05,GemEx,SI2,K, ,63.0,,6.44x6.43x4.06,Excellent,Canada,Emerald,Very good,58.0,1,
8744,0.9,AGSL,VS1,G, ,,,6.15x6.13x3.8,Very good,Russia,Round,Good,56.0,1,5332.631980877645
8745,1.05,AGSL,SI1,I, ,62.4,,6.52x6.48x4.05,Excellent,Other/Unknown,Pear,Excellent,57.0,3,
8746,1.12,AGSL,SI2,I, ,60.6,,6.75x6.8x4.11, ,Russia,Emerald, ,55.0,4,
8747,1.01,AGSL,SI1,I, ,59.5,,6.53x6.54x3.89, ,Russia,Emerald, ,,1,
8748,1.0,AGSL,SI1,F, ,60.4,,6.35x6.49x3.88, ,Russia,Round, ,52.0,1,
8749,1.04,AGSL,SI2,G, ,62.1,,6.47x6.49x4.02,Excellent,Angola,Round,Excellent,57.0,2,
8750,1.27,AGSL,VS2,K, ,,,6.88x6.93x4.31, ,Russia,Asscher, ,56.0,1,
8751,1.33,AGSL,SI1,L, ,,,7.04x7.08x4.32, ,Botswana,Round, ,,2,
8752,0.9,AGSL,VS2,G, ,62.0,True,6.16x6.17x3.82, ,Zimbabwe,Marquise, ,57.0,3,
8753,1.3,AGSL,SI2,K, ,61.7,,6.97x6.99x4.3, ,Australia,Round, ,59.0,2,
8754,1.02,AGSL,SI1,I, ,62.3,,6.4x6.44x4, ,Canada,Round, ,58.0,1,
8755,1.05,AGSL,VS2,J, ,62.1,,6.46x6.48x4.02,Excellent,Canada,Round,Excellent,57.0,1,
8756,1.0,AGSL,SI1,K, ,60.7,,6.42x6.38x3.89,Very good,DR Congo,Oval,Very good,62.0,3,
8757,1.3,AGSL,VS2,K, ,59.9,,7.12x7.08x4.25,Excellent,Australia,Round,Excellent,59.0,4,
8758,1.0,AGSL,IF,J, ,,,6.42x6.48x3.97,Excellent,Russia,Round,Excellent,58.0,2,6955.861375471381
8759,1.07,AGSL,SI2,I, ,60.7,,6.62x6.64x4.02, ,Australia,Round, ,,3,
8760,1.17,AGSL,SI2,G, ,,False,6.71x6.72x4.18, ,South Africa,Round, ,,3,
8761,1.04,AGSL,VS2,H, ,66.1,,6.2x6.24x4.11, ,Russia,Princess, ,56.0,3,
8762,0.91,,VS1,F, ,,,6.08x6.04x3.9,Excellent,Botswana,Radiant,Very good,56.0,1,5419.242093456853
8763,0.9,AGSL,VVS2,G, ,62.8,,6.14x6.12x3.85,Excellent,South Africa,Round,Very good,56.0,1,6119.026246569849
8764,1.08,AGSL,VS2,J, ,61.8,,6.57x6.6x4.07, ,Australia,Marquise, ,58.0,2,
8765,1.11,AGSL,SI1,I, ,60.3,,6.72x6.68x4.04,Excellent,Russia,Round,Excellent,59.0,3,
8766,1.21,AGSL,VS1,K, ,61.9,False,6.82x6.83x4.23, ,DR Congo,Asscher, ,57.0,1,
8767,1.08,AGSL,SI1,I, ,60.3,,6.67x6.64x4.02,Excellent,Angola,Round,Excellent,,4,
8768,1.08,AGSL,VS1,J, ,,,6.53x6.57x4.11, ,Angola,Round, ,,4,
8769,0.9,AGSL,VS1,H, ,62.9,,6.12x6.16x3.86, ,Angola,Oval , ,56.0,2,
8770,1.2,AGSL,VS2,J, ,61.3,,6.83x6.77x4.17,Excellent,Australia,Round,Very good,63.0,3,
8771,1.2,AGSL,SI1,J, ,61.4,,6.84x6.8x4.19,Very good,Australia,Marquise,Very good,56.0,3,
8772,1.2,AGSL,SI1,J, ,61.6,False,6.81x6.79x4.19,Excellent,South Africa,Round,Excellent,57.0,2,
8773,1.11,AGSL,IF,K, ,61.7,,6.61x6.71x4.11,Excellent,Russia,Round,Very good,56.0,1,7589.646669440015
8774,1.24,AGSL,VS2,L,Excellent,61.9,,6.9x6.92x4.28,Very good,Australia,Emerald,Very good,58.0,4,
8775,1.05,AGSL,SI2,G, ,59.9,,6.6x6.62x3.96,Excellent,Australia,Emerald,Excellent,,2,
8776,1.14,AGSL,SI2,I, ,61.9,,6.67x6.71x4.14, ,Russia,Pear, ,,1,
8777,1.21,,VS2,J, ,63.3,,6.75x6.72x4.27,Very good,South Africa,Round,Excellent,59.0,2,
8778,1.11,AGSL,SI1,J, ,62.1,False,6.6x6.64x4.11,Excellent,Angola,Round,Excellent,60.0,1,
8779,1.0,AGSL,SI2,F, ,62.3,,6.34x6.37x3.95,Very good,DR Congo,Oval,Excellent,,2,
8780,1.12,AGSL,SI2,G, ,61.7,,6.66x6.7x4.12, ,Botswana,Emerald, ,56.0,3,
8781,1.03,GemEx,VVS1,J, ,61.6,False,6.5x6.51x4.01, ,Canada,Marquise, ,59.0,3,
8782,1.0,AGSL,VS2,K, ,62.7,,6.25x6.2x3.9,Excellent,Russia,Round,Very good,60.0,4,
8783,1.01,AGSL,SI2,F, ,59.8,,6.52x6.54x3.91,Excellent,Australia,Round,Excellent,60.0,1,
8784,1.7,AGSL,SI2,M, ,,,7.66x7.61x4.7,Very good,Australia,Princess,Excellent,61.0,3,
8785,1.01,AGSL,SI1,H, ,62.2,,6.44x6.41x4,Excellent,Australia,Princess,Excellent,58.0,1,
8786,1.0,AGSL,SI1,F, ,64.5,,6.26x6.23x4.03,Excellent,DR Congo,Round,Good,54.0,1,
8787,1.09,AGSL,VS2,I, ,62.8,False,6.56x6.53x4.11,Excellent,Canada,Round,Excellent,,1,
8788,1.0,AGSL,SI1,E, ,,,6.18x6.25x3.99, ,Australia,Round, ,,3,
8789,1.31,AGSL,SI2,J, ,62.4,,7.02x6.99x4.37,Excellent,Angola,Round,Excellent,58.0,4,
8790,1.01,,SI1,I, ,63.2,,6.33x6.39x4.02,Very good,South Africa,Asscher,Very good,56.0,3,
8791,0.99,,SI1,E, ,63.9,,6.3x6.24x4.01,Excellent,Russia,Pear,Very good,56.0,3,
8792,1.05,AGSL,VS1,J, ,61.0,,6.5x6.54x3.98,Excellent,Other/Unknown,Round,Excellent,59.0,3,
8793,1.32,AGSL,VS2,K, ,62.1,,7.06x7.03x4.38,Excellent,DR Congo,Princess,Excellent,56.0,3,
8794,1.13,GemEx,SI2,I, ,61.9,,6.66x6.69x4.13,Excellent,Russia,Round,Excellent,58.0,3,
8795,1.27,AGSL,SI2,J, ,62.0,,6.96x6.94x4.31,Excellent,Russia,Round,Excellent,56.0,2,
8796,0.9,,VS2,F, ,62.5,,6.1x6.13x3.82, ,Botswana,Round, ,55.0,2,
8797,1.11,AGSL,SI2,H, ,62.4,,6.58x6.62x4.12, ,Canada,Oval, ,,2,
8798,1.13,AGSL,SI2,G, ,62.8,False,6.61x6.65x4.17, ,Russia,Cushion, ,57.0,2,
8799,1.03,AGSL,SI2,E, ,60.8,,6.54x6.5x3.97,Excellent,DR Congo,Uncut,Very good,58.0,4,
8800,1.07,AGSL,SI2,H, ,62.0,,6.54x6.56x4.06, ,Russia,Round, ,57.0,1,
8801,1.22,GemEx,SI2,K,Excellent,59.4,,6.94x6.96x4.13,Very good,DR Congo,Round,Excellent,59.0,2,
8802,1.01,AGSL,SI1,H, ,59.4,,6.44x6.46x3.83,Excellent,Australia,Round,Very good,59.0,2,
8803,1.02,AGSL,VVS2,J, ,61.1,,6.46x6.5x3.96,Excellent,Botswana,Radiant,Excellent,59.0,2,6884.277940486737
8804,1.2,GemEx,VS1,K, ,62.8,,6.71x6.8x4.24,Excellent,DR Congo,Round,Very good,58.0,1,
8805,1.01,AGSL,SI2,G, ,,,6.52x6.57x3.87,Very good,Botswana,Round,Very good,,3,
8806,1.23,,VS1,L,Excellent,62.0,,6.87x6.89x4.27,Excellent,Canada,Princess,Excellent,,4,
8807,1.14,AGSL,SI2,G, ,62.9,False,6.62x6.67x4.18, ,Botswana,Princess, ,56.0,3,
8808,1.02,AGSL,SI1,H, ,,,6.28x6.32x4.09,Excellent,Botswana,Round,Excellent,57.0,2,
8809,0.9,AGSL,VVS2,F, ,63.9,,6.09x6.03x3.87,Excellent,DR Congo,Round,Excellent,,2,6856.520827104349
8810,0.9,AGSL,VVS2,F, ,,,6.07x6.04x3.88,Excellent,Angola,Princess,Excellent,57.0,1,6565.99028358298
8811,1.02,AGSL,SI2,E, ,62.6,,6.41x6.43x4.02, ,Russia,Round, ,57.0,3,
8812,1.09,AGSL,SI2,E, ,61.9,,6.57x6.61x4.08,Excellent,Russia,Round,Excellent,,3,
8813,1.01,AGSL,VS1,I, ,,,6.48x6.46x3.98,Excellent,Russia,Emerald,Excellent,59.0,2,6484.3233738214085
8814,0.91,AGSL,VS2,G, ,,,6.17x6.21x3.87, ,DR Congo,Pear, ,,2,
8815,1.0,AGSL,SI2,H,Excellent,,,6.44x6.48x3.96,Excellent,Russia,Radiant,Excellent,,3,
8816,1.05,AGSL,SI2,H, ,62.5,,6.48x6.51x4.06,Excellent,Canada,Oval ,Excellent,,3,
8817,1.4,AGSL,SI1,L, ,60.9,,7.19x7.21x4.38, ,Russia,Pear, ,60.0,2,
8818,1.42,GemEx,VS2,K, ,,,7.17x7.14x4.49,Excellent,Australia,Round,Excellent,,1,
8819,1.01,GemEx,VS1,G, ,65.4,False,6.12x6.28x4.06, ,Angola,Round, ,54.0,3,
8820,1.21,AGSL,SI2,I, ,62.4,,6.77x6.8x4.24, ,Russia,Round, ,56.0,2,
8821,1.4,AGSL,VS2,K, ,63.1,,7.12x7.05x4.47,Excellent,Russia,Round,Excellent,57.0,4,
8822,1.08,AGSL,VS2,I, ,60.2,,6.64x6.7x4.02,Very good,Australia,Round,Very good,58.0,3,
8823,1.2,AGSL,VVS2,J, ,62.6,,6.8x6.74x4.24,Excellent,Canada,Round,Excellent,,4,
8824,1.35,,SI1,K, ,62.4,,7x7.05x4.38, ,DR Congo,Marquise, ,,3,
8825,1.5,AGSL,SI2,L, ,61.5,,7.34x7.36x4.52, ,Botswana,Asscher, ,59.0,4,
8826,1.09,AGSL,SI2,F, ,,,6.57x6.6x4.09, ,Australia,Round, ,,3,
8827,1.18,AGSL,SI2,I, ,62.3,,6.76x6.77x4.21,Excellent,Botswana,Marquise,Excellent,57.0,3,
8828,1.16,AGSL,SI1,F, ,61.4,,6.74x6.78x4.15,Excellent,Russia,ROUND,Excellent,,2,9020.816088285672
8829,1.26,AGSL,VS2,J, ,62.5,,6.89x6.86x4.3,Excellent,South Africa,Oval,Excellent,57.0,4,
8830,1.41,AGSL,VVS2,L, ,61.9,,7.15x7.19x4.44, ,Russia,Round, ,59.0,2,
8831,0.91,AGSL,VS2,E, ,,,6.21x6.24x3.8, ,Russia,Round, ,60.0,2,
8832,1.51,AGSL,VS2,L, ,62.5,,7.36x7.28x4.58,Very good,DR Congo,Uncut,Very good,56.0,2,
8833,1.0,AGSL,VVS1,I, ,62.1,,6.43x6.45x4, ,Botswana,Round, ,,4,
8834,1.54,GemEx,VS2,L, ,58.0,,7.63x7.6x4.42,Excellent,Russia,Oval,Excellent,62.0,2,
8835,1.5,AGSL,SI1,L, ,62.8,,7.3x7.21x4.56,Excellent,Botswana,Round,Very good,57.0,2,
8836,1.01,,SI1,G, ,61.0,,6.43x6.48x3.94,Good,Russia,Round,Good,,3,
8837,1.01,AGSL,VS1,I, ,60.1,,6.47x6.52x3.9, ,Russia,Radiant, ,60.0,4,
8838,1.21,AGSL,VS2,I, ,,,6.98x6.93x4.15,Very good,Angola,Round,Good,57.0,2,
8839,1.08,AGSL,VS1,J, ,62.4,,6.56x6.61x4.11,Excellent,Canada,Oval,Excellent,55.0,3,
8840,1.3,AGSL,SI1,J, ,62.3,,7.03x7x4.37,Excellent,Russia,Round,Excellent,55.0,3,
8841,1.3,AGSL,SI1,J, ,62.6,,7x6.96x4.37,Excellent,Angola,Oval,Excellent,55.0,2,
8842,1.3,,SI1,J, ,,,7.12x7.09x4.24,Excellent,Canada,Round,Excellent,60.0,1,
8843,1.36,AGSL,VVS2,K, ,62.2,False,7.06x7.09x4.4, ,Botswana,Emerald, ,,1,
8844,1.22,AGSL,SI2,H, ,62.8,False,6.82x6.8x4.28,Excellent,South Africa,Round,Excellent,,4,
8845,1.0,AGSL,VS2,H, ,62.5,,6.33x6.37x3.97,Excellent,Russia,Emerald,Good,60.0,2,
8846,1.33,AGSL,SI2,J, ,62.9,,7.01x6.98x4.4,Excellent,Canada,Round,Excellent,,2,
8847,1.0,GemEx,SI2,E,Good,63.3,,6.24x6.28x3.96,Very good,Russia,Princess,Very good,61.0,4,
8848,1.0,AGSL,SI1,H,Good,,,6.28x6.32x3.96,Very good,Angola,Emerald,Good,59.0,4,
